index,molecule_chembl_id,canonical_smiles,standard_value
217,CHEMBL117064,COc1cccc2c1cc1c3ccccc3nc-1n2C,1300.0
218,CHEMBL118340,Cn1c2nc3ccccc3c-2cc2cc(I)ccc21,1000.0
219,CHEMBL118066,Cn1c2nc3ccccc3c-2cc2cc(C#N)ccc21,4000.0
220,CHEMBL115592,Cn1c2nc3ccccc3c-2cc2c(C(F)(F)F)cccc21,32000.0
221,CHEMBL118855,Cn1c2nc3ccccc3c-2cc2cc(F)ccc21,14300.0
222,CHEMBL119649,COc1ccc2c(c1)cc1c3ccccc3nc-1n2C,300.0
223,CHEMBL118165,CN1c2cc(C(F)(F)F)ccc2C=C2c3ccccc3NC21,16700.0
224,CHEMBL333481,Cc1ccc2c(c1)cc1c3ccccc3nc-1n2C,100.0
225,CHEMBL432423,CSc1ccc2c(c1)cc1c3ccccc3nc-1n2C,800.0
226,CHEMBL323909,Cn1c2nc3ccc(C#N)cc3c-2cc2ccccc21,32000.0
227,CHEMBL115585,Cn1c2nc3ccccc3c-2cc2ccccc21,4000.0
228,CHEMBL117831,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(C(F)(F)F)ccc21,32000.0
229,CHEMBL119096,C[n+]1c2ccccc2cc2[n-]c3ccccc3c21,3000.0
230,CHEMBL119475,Clc1ccc2[nH]c3nc4ccccc4c-3cc2c1,32000.0
231,CHEMBL118916,Cn1c2nc3ccccc3c-2cc2cc(Cl)ccc21,1300.0
236,CHEMBL443023,Cn1c2nc3ccccc3c-2cc2cc([N+](=O)[O-])ccc21,700.0
237,CHEMBL115433,Cn1c2nc3ccccc3c-2cc2c(Br)cccc21,16700.0
238,CHEMBL119834,Clc1cc(Cl)c2[nH]c3nc4ccccc4c-3cc2c1,32000.0
239,CHEMBL332478,CN1c2cc(Br)ccc2C=C2c3ccccc3NC21,27300.0
240,CHEMBL331251,COc1ccc2[nH]c3nc4ccccc4c-3cc2c1,32000.0
241,CHEMBL117926,COc1ccc2c(c1)cc1c3cc(C#N)ccc3nc-1n2C,1000.0
242,CHEMBL119102,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(F)ccc21,4000.0
243,CHEMBL118343,Fc1ccc2[nH]c3nc4ccccc4c-3cc2c1,32000.0
244,CHEMBL440898,Cn1c2nc3ccccc3c-2cc2cc(Br)ccc21,1000.0
245,CHEMBL118915,COc1ccc2c(c1)N(C)C1Nc3ccccc3C1=C2,400.0
246,CHEMBL118838,CN1c2cc(Cl)ccc2C=C2c3ccccc3NC21,9300.0
247,CHEMBL332113,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(Cl)ccc21,32000.0
248,CHEMBL55359,O=P(O)(O)C(O)(CSc1ccncc1)P(=O)(O)O,19800.0
249,CHEMBL55358,CC(N)CC(O)(P(=O)(O)O)P(=O)(O)O,7800.0
250,CHEMBL55140,Cc1cccnc1NC(P(=O)(O)O)P(=O)(O)O,700.0
251,CHEMBL417932,Nc1ccc(CC(O)(P(=O)(O)O)P(=O)(O)O)cc1,40000.0
252,CHEMBL55214,NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,31700.0
253,CHEMBL434024,O=P(O)(O)C(O)(Cc1ccccn1)P(=O)(O)O,220.0
254,CHEMBL52761,CCCC(O)(P(=O)(O)O)P(=O)(O)O,92000.0
255,CHEMBL56556,O=P(O)(O)C(O)(Cc1ccccc1)P(=O)(O)O,21300.0
256,CHEMBL301471,CCOP(=O)(OCC)C(Nc1ncccc1C)P(=O)(OCC)OCC,27900.0
257,CHEMBL923,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,8600.0
258,CHEMBL55886,O=P(O)(O)C(O)(Cc1ccncc1)P(=O)(O)O,200000.0
260,CHEMBL55812,CN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,5400.0
261,CHEMBL293522,O=P(O)(O)C(O)(CCc1cccnc1)P(=O)(O)O,1700.0
262,CHEMBL299491,CCCCC(O)(P(=O)(O)O)P(=O)(O)O,99800.0
263,CHEMBL299988,CCCCCC(O)(P(=O)(O)O)P(=O)(O)O,62400.0
264,CHEMBL301247,O=P(O)(O)C(O)(Cc1c[nH]cn1)P(=O)(O)O,8600.0
265,CHEMBL834,NCCC(O)(P(=O)(O)O)P(=O)(O)O,177000.0
266,CHEMBL298771,NCCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0
267,CHEMBL870,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0
268,CHEMBL82641,c1ccc(CCCNCCCCN(CCCNCCCc2ccccc2)CCCc2ccccc2)cc1,220.0
272,CHEMBL85189,NCCCN(CCCCN(CCCNCCCc1ccccc1)CCCc1ccccc1)CCCc1ccccc1,270.0
276,CHEMBL86096,c1ccc(CCCNCCCNCCCCNCCCNCCCc2ccccc2)cc1,810.0
280,CHEMBL86281,c1ccc(CCCNCCCN(CCCCN(CCCNCCCc2ccccc2)CCCc2ccccc2)CCCc2ccccc2)cc1,120.0
284,CHEMBL84221,c1ccc(CCCNCCCNCCCCNCCCN(CCCc2ccccc2)CCCc2ccccc2)cc1,400.0
288,CHEMBL85161,c1ccc(CCCNCCCN(CCCCN(CCCc2ccccc2)CCCN(CCCc2ccccc2)CCCc2ccccc2)CCCc2ccccc2)cc1,3050.0
292,CHEMBL85198,NCCCCN(CCCNCCCc1ccccc1)CCCc1ccccc1.NCCCN(CCCCNCCCc1ccccc1)CCCc1ccccc1,310.0
296,CHEMBL62048,NCCCN(CCCCN(CCCN)CCCc1ccccc1)CCCc1ccccc1,660.0
300,CHEMBL310207,c1ccc(CCCN(CCCCN(CCCc2ccccc2)CCCN(CCCc2ccccc2)CCCc2ccccc2)CCCN(CCCc2ccccc2)CCCc2ccccc2)cc1,22000.0
304,CHEMBL121434,CN1CCN(C(=O)/C=C/c2ccc3ccccc3n2)CC1,32000.0
306,CHEMBL334308,OC(Cc1ccc2ccccc2n1)c1ccc(F)cc1,32000.0
307,CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.0
308,CHEMBL121345,O=C(/C=C/c1ccc2ccccc2n1)N1CCCCC1,32000.0
309,CHEMBL121001,COc1ccc(/C=C/c2ccc3ccccc3n2)cc1OC,26000.0
310,CHEMBL121177,O=[N+]([O-])c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0
311,CHEMBL119769,O=[N+]([O-])c1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0
312,CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,0.0
313,CHEMBL120734,CN(C)c1ccc(/C=C/c2ccc3ccccc3n2)cc1,6000.0
314,CHEMBL124355,COc1ccc(C(O)Cc2ccc3ccccc3n2)cc1OC,32000.0
315,CHEMBL538157,O=C/C=C/c1ccc2ccccc2n1,19000.0
316,CHEMBL122675,CN(C)c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0
317,CHEMBL432231,OC(Cc1ccc2ccccc2n1)c1ccco1,32000.0
318,CHEMBL338511,Fc1ccccc1NCc1ccc2ccccc2n1,32000.0
319,CHEMBL121537,O=[N+]([O-])/C=C/c1ccc2ccccc2n1,18000.0
320,CHEMBL121573,Fc1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0
321,CHEMBL120925,COc1cc(NCc2ccc3ccccc3n2)cc(OC)c1OC,32000.0
322,CHEMBL125,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,0.0
323,CHEMBL121196,O=C(/C=C/c1ccc2ccccc2n1)N1CCOCC1,32000.0
324,CHEMBL120356,Br/C=C/c1ccc2ccccc2n1,1000.0
325,CHEMBL239129,,0.0
326,CHEMBL121071,COc1ccc(/C=C/c2ccc3ccccc3n2)c(OC)c1,18000.0
327,CHEMBL177872,CCn1ncc2c1n/c(=N\c1ccccc1)n1ccc3ccccc3c21,35000.0
328,CHEMBL3143659,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)c2nc(-c3ccccc3)c(-c3ccccc3)nc12,11000.0
329,CHEMBL172782,COC(=O)/C(C#N)=C/c1ccc(/C=C/c2ccccn2)cc1,16000.0
330,CHEMBL353318,COC(=O)N[C@H](C(=O)OC)[C@H](O)[C@@H](C)c1c(C)nc2n(C)c3ncn(Cc4ccccc4)c3c(=O)n12,108000.0
331,CHEMBL175127,CCOC(=O)/C(C#N)=C/c1ccc(/C=C/c2ccccn2)cc1,15000.0
332,CHEMBL62192,CC(=O)OCC(CO)OC(COC(C)=O)n1cnc2c(N)ncnc21,7000.0
333,CHEMBL301405,CC(=O)OCC(COC(C)=O)OC(COC(C)=O)n1cnc2c(O)ncnc21,5400.0
334,CHEMBL61970,Nc1ncnc2c1ncn2C(CO)OC(CO)CSCCO,100000.0
335,CHEMBL418503,Nc1ncnc2c1ncn2C(CO)OC(CO)CO,100000.0
336,CHEMBL58857,OCC(CO)OC(CO)n1cnc2c(O)ncnc21,100000.0
337,CHEMBL293899,CC(=O)OCCSCC(COC(C)=O)OC(COC(C)=O)n1cnc2c(N)ncnc21,5300.0
338,CHEMBL96761,Br.Br.Br.Br.CCNCCCNCCCNCCCNCC1CC1,100000.0
342,CHEMBL93014,Br.Br.Br.Br.C(CCCNCCCNCC1CCCCCC1)CCCNCCCNCC1CCCCCC1,125.0
346,CHEMBL92122,Br.Br.Br.Br.C#CCNCCCNCCCNCCCNCC,100000.0
350,CHEMBL93088,Br.Br.Br.Br.CCNCCCNCCCCCCCNCCCNCC1CCCCCC1,18000.0
354,CHEMBL92123,Br.Br.Br.Br.CCNCCCNCCCNCCCNCC1CCCCCC1,100000.0
358,CHEMBL93314,Br.Br.Br.Br.c1ccc(CNCCCNCCCCCCCNCCCNCc2ccccc2)cc1,14500.0
362,CHEMBL59755,O=C(O)CCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,4000.0
363,CHEMBL60505,O=C(O)CC(=O)OC12CCCCC1C1CCCCC1(O)OO2,10000.0
364,CHEMBL413376,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],43.0
365,CHEMBL61588,O=C(O)CCCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,17000.0
366,CHEMBL60144,OC12CCCCC1C1CCCCC1(O)OO2,13000.0
367,CHEMBL60093,CC1CCCC2C3CCCC(C)C3(O)OOC12O,64000.0
368,CHEMBL60487,COC12CCCCC1C1CCCCC1(O)OO2,16000.0
369,CHEMBL60085,O=C(O)CCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,16000.0
370,CHEMBL9126,N=C(N)c1ccc(N2CCN(c3ccc(C(=N)N)cc3)CC2)cc1,58.0
373,CHEMBL267154,C(=C1/CCCN(c2ccc(C3=NCCN3)cc2)C1)\c1ccc(C2=NCCN2)cc1,71.0
379,CHEMBL9341,CC(C)/N=C(\N)c1ccc(N2CCCN(c3ccc(/C(N)=N/C(C)C)cc3)CC2)cc1,1000.0
382,CHEMBL9025,N=C(NC1CC1)c1ccc(N2CCCN(c3ccc(C(=N)NC4CC4)cc3)CC2)cc1,870.0
385,CHEMBL276449,C(=C1CCN(Cc2ccc(C3=NCCN3)cc2)CC1)c1ccc(C2=NCCN2)cc1,540.0
388,CHEMBL9531,N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)n2)cc1,1000.0
391,CHEMBL9516,c1cc(C2=NCCN2)ccc1CC1CCCN(c2ccc(C3=NCCN3)cc2)C1,86.0
394,CHEMBL2311124,N=C(N)c1ccc(NC(=O)[C@@H]2C[C@H]2C(=O)Nc2ccc(C(=N)N)cc2)cc1,1000.0
397,CHEMBL9479,c1cc(C2=NCCN2)ccc1CC1CCN(c2ccc(C3=NCCN3)cc2)CC1,169.0
400,CHEMBL166,Nc1nc(N)nc(Nc2ccc([As]3SCC(CO)S3)cc2)n1,200.0
401,CHEMBL9053,CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1,180.0
404,CHEMBL25526,N=C(N)c1ccc(OC[C@@H]2C[C@H]2COc2ccc(C(=N)N)cc2)cc1,9.4
407,CHEMBL9121,N=C(NCCO)c1ccc(N2CCCN(c3ccc(/C(N)=N/CCO)cc3)CC2)cc1,1000.0
410,CHEMBL269032,N=C(N)c1ccc(N2CCCN(c3ccc(C(=N)N)cc3)CC2)cc1,2.15
413,CHEMBL9185,c1cc(N2CCCN(c3ccc(C4=NCCN4)cc3)CC2)ccc1C1=NCCN1,27.5
416,CHEMBL266808,O=C(Nc1ccc(C2=NCCN2)cc1)C1C[C@H]1C(=O)Nc1ccc(C2=NCCN2)cc1,1000.0
419,CHEMBL9490,CC(C)(C)/N=C(\N)c1ccc(N2CCCN(c3ccc(/C(N)=N/C(C)(C)C)cc3)CC2)cc1,1000.0
422,CHEMBL9391,N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1,70.0
425,CHEMBL8892,c1cc(N2CCN(c3ccc(C4=NCCN4)cc3)CC2)ccc1C1=NCCN1,18.5
431,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,116300.0
434,CHEMBL423172,Cn1c([N+](=O)[O-])cnc1-c1nnc(N)s1,120.0
437,CHEMBL193320,Nc1nc(N)nc(N/N=C/c2ccc([N+](=O)[O-])o2)n1,80.0
440,CHEMBL362928,CNc1nc(N)nc(N/N=C/c2ccc([N+](=O)[O-])o2)n1,80.0
443,CHEMBL381718,Nc1ncnc2c1ncn2[C@@H]1O[C@H](/C=C/I)[C@@H](O)[C@H]1O,9.0
